category,uid,historical_class,pre_residual_current_class,post_residual_current_class,post_residual_best_fg_ratio,post_residual_best_bbox_area_ratio,post_residual_best_max_dim,post_residual_view_classes,asset_dir,usd_path
pillow,eded3fd4d80a71c84be0982684447ef4,suspicious,suspicious,suspicious,0.090412,0.135651,254,blank;ok;ok;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/pillow/eded3fd4d80a71c84be0982684447ef4,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/pillow/eded3fd4d80a71c84be0982684447ef4/usd/eded3fd4d80a71c84be0982684447ef4.usd
pillow,ee06ee2fc0dc7d620f2b458985822266,suspicious,suspicious,suspicious,0.064011,0.093109,216,blank;blank;ok;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/pillow/ee06ee2fc0dc7d620f2b458985822266,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/pillow/ee06ee2fc0dc7d620f2b458985822266/usd/ee06ee2fc0dc7d620f2b458985822266.usd
pillow,ee39e37d289bdf900c09124ff917f377,suspicious,suspicious,suspicious,0.102589,0.138672,256,blank;ok;ok;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/pillow/ee39e37d289bdf900c09124ff917f377,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/pillow/ee39e37d289bdf900c09124ff917f377/usd/ee39e37d289bdf900c09124ff917f377.usd
pillow,eee57f6f0a59d7b3d815e1d4ebd33ac3,suspicious,suspicious,suspicious,0.076302,0.112942,241,blank;ok;ok;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/pillow/eee57f6f0a59d7b3d815e1d4ebd33ac3,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/pillow/eee57f6f0a59d7b3d815e1d4ebd33ac3/usd/eee57f6f0a59d7b3d815e1d4ebd33ac3.usd
pillow,f2679a3cb6671930aa5ffc9ab40f78b0,suspicious,suspicious,suspicious,0.101387,0.131161,219,ok;ok;blank;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/pillow/f2679a3cb6671930aa5ffc9ab40f78b0,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/pillow/f2679a3cb6671930aa5ffc9ab40f78b0/usd/f2679a3cb6671930aa5ffc9ab40f78b0.usd
pillow,f3265d7e2f9118f30aa1a81e850096b4,suspicious,suspicious,suspicious,0.099487,0.124741,218,ok;ok;tiny;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/pillow/f3265d7e2f9118f30aa1a81e850096b4,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/pillow/f3265d7e2f9118f30aa1a81e850096b4/usd/f3265d7e2f9118f30aa1a81e850096b4.usd
pillow,f328bae77494b48ab240305f08f5a021,suspicious,suspicious,suspicious,0.078407,0.113930,218,blank;blank;ok;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/pillow/f328bae77494b48ab240305f08f5a021,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/pillow/f328bae77494b48ab240305f08f5a021/usd/f328bae77494b48ab240305f08f5a021.usd
pillow,f334c28ce51d6b1aa2dbfdd56c809484,suspicious,suspicious,suspicious,0.066948,0.104538,223,ok;blank;blank;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/pillow/f334c28ce51d6b1aa2dbfdd56c809484,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/pillow/f334c28ce51d6b1aa2dbfdd56c809484/usd/f334c28ce51d6b1aa2dbfdd56c809484.usd
pillow,f34d7501eb149275433730a45bf5071e,suspicious,suspicious,suspicious,0.095795,0.153542,300,blank;ok;ok;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/pillow/f34d7501eb149275433730a45bf5071e,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/pillow/f34d7501eb149275433730a45bf5071e/usd/f34d7501eb149275433730a45bf5071e.usd
pillow,f3c9d9e1c7136fe3910f81c03071dcb0,suspicious,suspicious,suspicious,0.069450,0.116020,298,tiny;ok;ok;tiny,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/pillow/f3c9d9e1c7136fe3910f81c03071dcb0,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/pillow/f3c9d9e1c7136fe3910f81c03071dcb0/usd/f3c9d9e1c7136fe3910f81c03071dcb0.usd
