category,uid,image_class,category_group,old_diag,new_diag,diag_ratio,fallback_changed,rerender_recommended,scan_error,best_fg_ratio,best_bbox_area_ratio,best_max_dim,view_classes,asset_dir,usd_path
desk,ed26a9f8bb6d1ebf6daa1d7ada0d0827,tiny,object,2035.081832,185.875783,10.948612,true,true,,0.002651,0.003479,38,tiny;tiny;tiny;tiny,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/desk/ed26a9f8bb6d1ebf6daa1d7ada0d0827,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/desk/ed26a9f8bb6d1ebf6daa1d7ada0d0827/usd/ed26a9f8bb6d1ebf6daa1d7ada0d0827.usd
desk,f77def13cc7842e5caa7eed2f0f7e3e5,tiny,object,2298.531213,223.031134,10.305876,true,true,,0.002178,0.003525,44,tiny;tiny;tiny;tiny,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/desk/f77def13cc7842e5caa7eed2f0f7e3e5,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/desk/f77def13cc7842e5caa7eed2f0f7e3e5/usd/f77def13cc7842e5caa7eed2f0f7e3e5.usd
desk,ff4819fe35b2cae8d529f1321eecb038,tiny,object,1713.751645,176.932084,9.685929,true,true,,0.002640,0.004272,45,tiny;tiny;tiny;tiny,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/desk/ff4819fe35b2cae8d529f1321eecb038,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/desk/ff4819fe35b2cae8d529f1321eecb038/usd/ff4819fe35b2cae8d529f1321eecb038.usd
dish_washer,0044205b7900f72e53363e6147577b4c,tiny,object,2033.578096,113.903187,17.853566,true,true,,0.001625,0.001717,25,tiny;tiny;tiny;tiny,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/dish_washer/0044205b7900f72e53363e6147577b4c,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/dish_washer/0044205b7900f72e53363e6147577b4c/usd/0044205b7900f72e53363e6147577b4c.usd
dish_washer,0c3fddafb5a57fc49510adac445cca35,blank,object,7516.267287,103.256427,72.792247,true,true,,0.000114,0.000134,7,blank;blank;blank;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/dish_washer/0c3fddafb5a57fc49510adac445cca35,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/dish_washer/0c3fddafb5a57fc49510adac445cca35/usd/0c3fddafb5a57fc49510adac445cca35.usd
dish_washer,1123cad3c5759a28cbf18e7b11817db1,tiny,object,1980.170265,110.619686,17.900704,true,true,,0.001579,0.001740,24,tiny;tiny;tiny;tiny,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/dish_washer/1123cad3c5759a28cbf18e7b11817db1,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/dish_washer/1123cad3c5759a28cbf18e7b11817db1/usd/1123cad3c5759a28cbf18e7b11817db1.usd
dish_washer,1d00eea324081decb137e42d64bec1f7,tiny,object,676.776251,95.734772,7.069284,true,true,,0.004421,0.005905,49,tiny;tiny;tiny;tiny,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/dish_washer/1d00eea324081decb137e42d64bec1f7,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/dish_washer/1d00eea324081decb137e42d64bec1f7/usd/1d00eea324081decb137e42d64bec1f7.usd
dish_washer,22d59285e83082ed2f05c1bf8e32c871,blank,object,5871.689214,80.663662,72.792247,true,true,,0.000126,0.000134,7,blank;blank;blank;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/dish_washer/22d59285e83082ed2f05c1bf8e32c871,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/dish_washer/22d59285e83082ed2f05c1bf8e32c871/usd/22d59285e83082ed2f05c1bf8e32c871.usd
dish_washer,238dbd3ad689342f3a2ff4e067a4099e,tiny,object,2092.929885,114.270385,18.315593,true,true,,0.001499,0.001602,23,tiny;tiny;tiny;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/dish_washer/238dbd3ad689342f3a2ff4e067a4099e,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/dish_washer/238dbd3ad689342f3a2ff4e067a4099e/usd/238dbd3ad689342f3a2ff4e067a4099e.usd
dish_washer,27157ba75432652ad39aa11f6e24693a,tiny,object,1995.816646,111.253535,17.939355,true,true,,0.001556,0.001762,24,tiny;tiny;tiny;tiny,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/dish_washer/27157ba75432652ad39aa11f6e24693a,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/dish_washer/27157ba75432652ad39aa11f6e24693a/usd/27157ba75432652ad39aa11f6e24693a.usd
