label,category,uid,view,class,fg_ratio,bbox_width,bbox_height,bbox_area_ratio,touches_edge,path
baseline84,cabinet,d25b1eaa551dc87164ebc6fecefa5e20,back,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/d25b1eaa551dc87164ebc6fecefa5e20/back.png
baseline84,cabinet,d25b1eaa551dc87164ebc6fecefa5e20,right,tiny,0.006718,44,45,0.007553,True,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/d25b1eaa551dc87164ebc6fecefa5e20/right.png
baseline84,cabinet,d42f2e8221d899971e2effeaf540e2cb,front,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/d42f2e8221d899971e2effeaf540e2cb/front.png
baseline84,cabinet,d42f2e8221d899971e2effeaf540e2cb,left,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/d42f2e8221d899971e2effeaf540e2cb/left.png
baseline84,cabinet,d42f2e8221d899971e2effeaf540e2cb,back,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/d42f2e8221d899971e2effeaf540e2cb/back.png
baseline84,cabinet,d42f2e8221d899971e2effeaf540e2cb,right,tiny,0.008133,43,72,0.011810,True,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/d42f2e8221d899971e2effeaf540e2cb/right.png
baseline84,cabinet,d7369035ad50d263c7bb172b208d92c2,front,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/d7369035ad50d263c7bb172b208d92c2/front.png
baseline84,cabinet,d7369035ad50d263c7bb172b208d92c2,left,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/d7369035ad50d263c7bb172b208d92c2/left.png
baseline84,cabinet,d7369035ad50d263c7bb172b208d92c2,back,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/d7369035ad50d263c7bb172b208d92c2/back.png
baseline84,cabinet,d7369035ad50d263c7bb172b208d92c2,right,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/d7369035ad50d263c7bb172b208d92c2/right.png
baseline84,cabinet,def8f92095cc409637c90677fdc879ce,front,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/def8f92095cc409637c90677fdc879ce/front.png
baseline84,cabinet,def8f92095cc409637c90677fdc879ce,left,tiny,0.002605,25,39,0.003719,True,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/def8f92095cc409637c90677fdc879ce/left.png
baseline84,cabinet,def8f92095cc409637c90677fdc879ce,back,blank,0.000771,10,31,0.001183,True,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/def8f92095cc409637c90677fdc879ce/back.png
baseline84,cabinet,def8f92095cc409637c90677fdc879ce,right,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/def8f92095cc409637c90677fdc879ce/right.png
baseline84,cabinet,e21d4bb1dbfcf5807d8aa4418113613c,front,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/e21d4bb1dbfcf5807d8aa4418113613c/front.png
baseline84,cabinet,e21d4bb1dbfcf5807d8aa4418113613c,left,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/e21d4bb1dbfcf5807d8aa4418113613c/left.png
