label,category,uid,previous_class,new_class,best_fg_ratio,best_bbox_area_ratio,best_max_dim,edge_touch_count,view_classes,usd_path
az045_scale100_elev35,cabinet,05b603614a4ff2f04bfa544a2d85a0bd,tiny,tiny,0.002571,0.010548,79,0,tiny;tiny;tiny;tiny,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/05b603614a4ff2f04bfa544a2d85a0bd/usd/05b603614a4ff2f04bfa544a2d85a0bd.usd
az045_scale100_elev35,cabinet,06ba887f18c9cd0fdc34bd23e2c31de2,tiny,suspicious,0.007530,0.016731,129,0,blank;blank;ok;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/06ba887f18c9cd0fdc34bd23e2c31de2/usd/06ba887f18c9cd0fdc34bd23e2c31de2.usd
az045_scale100_elev35,cabinet,0968a1c333825e9d2f912db1d353b0e8,blank,blank,0.000000,0.000000,0,0,blank;blank;blank;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/0968a1c333825e9d2f912db1d353b0e8/usd/0968a1c333825e9d2f912db1d353b0e8.usd
az045_scale100_elev35,cabinet,1347473d7fe8c041e902558d24c9e375,blank,blank,0.000984,0.001373,24,0,blank;blank;blank;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/1347473d7fe8c041e902558d24c9e375/usd/1347473d7fe8c041e902558d24c9e375.usd
az045_scale100_elev35,cabinet,0474a4456e49f2db47f397f00a03b5ca,ok,ok,0.299084,0.476944,414,0,ok;ok;ok;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/0474a4456e49f2db47f397f00a03b5ca/usd/0474a4456e49f2db47f397f00a03b5ca.usd
az045_scale100_elev35,door,1f614c5e84cf7ab87a1fc0d1bcf00f40,tiny,suspicious,0.022858,0.039177,158,0,blank;blank;blank;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/door/1f614c5e84cf7ab87a1fc0d1bcf00f40/usd/1f614c5e84cf7ab87a1fc0d1bcf00f40.usd
az045_scale100_elev35,door,b16b5205214f15c42aed50b3a329326e,tiny,suspicious,0.009010,0.028954,110,0,ok;blank;blank;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/door/b16b5205214f15c42aed50b3a329326e/usd/b16b5205214f15c42aed50b3a329326e.usd
