category,uid,view,class,fg_ratio,bbox_width,bbox_height,bbox_area_ratio,path
book,0259ea624412af7330f53dcdce5992bb,right,ok,0.291676,338,299,0.385521,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/0259ea624412af7330f53dcdce5992bb/right.png
book,028663dd7399822b6ba00d3bf6895b7b,front,ok,0.280674,498,208,0.395142,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/028663dd7399822b6ba00d3bf6895b7b/front.png
book,028663dd7399822b6ba00d3bf6895b7b,left,ok,0.277916,384,247,0.361816,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/028663dd7399822b6ba00d3bf6895b7b/left.png
book,028663dd7399822b6ba00d3bf6895b7b,back,ok,0.281513,499,209,0.397839,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/028663dd7399822b6ba00d3bf6895b7b/back.png
book,028663dd7399822b6ba00d3bf6895b7b,right,ok,0.327656,355,312,0.422516,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/028663dd7399822b6ba00d3bf6895b7b/right.png
book,0331b82f5db95201bbef0d71f3bba9cb,front,ok,0.321659,468,227,0.405258,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/0331b82f5db95201bbef0d71f3bba9cb/front.png
book,0331b82f5db95201bbef0d71f3bba9cb,left,ok,0.321568,467,227,0.404392,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/0331b82f5db95201bbef0d71f3bba9cb/left.png
book,0331b82f5db95201bbef0d71f3bba9cb,back,ok,0.321255,466,226,0.401749,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/0331b82f5db95201bbef0d71f3bba9cb/back.png
book,0331b82f5db95201bbef0d71f3bba9cb,right,ok,0.321545,467,227,0.404392,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/0331b82f5db95201bbef0d71f3bba9cb/right.png
book,034dbe390f0aa861e352f01c82156d1e,front,ok,0.267471,508,161,0.311996,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/034dbe390f0aa861e352f01c82156d1e/front.png
book,034dbe390f0aa861e352f01c82156d1e,left,ok,0.299469,364,285,0.395737,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/034dbe390f0aa861e352f01c82156d1e/left.png
book,034dbe390f0aa861e352f01c82156d1e,back,ok,0.271320,512,163,0.318359,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/034dbe390f0aa861e352f01c82156d1e/back.png
book,034dbe390f0aa861e352f01c82156d1e,right,ok,0.299473,364,285,0.395737,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/034dbe390f0aa861e352f01c82156d1e/right.png
book,03de8bd80383a9820dc15444763b36bb,front,ok,0.258904,512,153,0.298828,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/03de8bd80383a9820dc15444763b36bb/front.png
book,03de8bd80383a9820dc15444763b36bb,left,ok,0.289455,338,297,0.382942,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/03de8bd80383a9820dc15444763b36bb/left.png
book,03de8bd80383a9820dc15444763b36bb,back,ok,0.257648,510,152,0.295715,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/03de8bd80383a9820dc15444763b36bb/back.png
book,03de8bd80383a9820dc15444763b36bb,right,ok,0.289494,338,297,0.382942,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/03de8bd80383a9820dc15444763b36bb/right.png
book,04426d4eb9307162c287911faf875e01,front,ok,0.285007,512,167,0.326172,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/04426d4eb9307162c287911faf875e01/front.png
book,04426d4eb9307162c287911faf875e01,left,ok,0.307899,351,301,0.403027,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/04426d4eb9307162c287911faf875e01/left.png
book,04426d4eb9307162c287911faf875e01,back,ok,0.281570,512,165,0.322266,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/04426d4eb9307162c287911faf875e01/back.png
book,04426d4eb9307162c287911faf875e01,right,ok,0.307922,351,301,0.403027,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/04426d4eb9307162c287911faf875e01/right.png
book,048e4018ce3951081468d87cbfe98ef0,front,ok,0.062584,70,257,0.068626,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/048e4018ce3951081468d87cbfe98ef0/front.png
book,048e4018ce3951081468d87cbfe98ef0,left,ok,0.176441,361,274,0.377327,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/048e4018ce3951081468d87cbfe98ef0/left.png
book,048e4018ce3951081468d87cbfe98ef0,back,ok,0.065639,64,328,0.080078,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/048e4018ce3951081468d87cbfe98ef0/back.png
book,048e4018ce3951081468d87cbfe98ef0,right,ok,0.188087,361,274,0.377327,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/048e4018ce3951081468d87cbfe98ef0/right.png
book,04a268bc7e7a28987f358fa1ebd3d174,front,ok,0.255268,510,154,0.299606,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/04a268bc7e7a28987f358fa1ebd3d174/front.png
book,04a268bc7e7a28987f358fa1ebd3d174,left,ok,0.287777,355,284,0.384598,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/04a268bc7e7a28987f358fa1ebd3d174/left.png
book,04a268bc7e7a28987f358fa1ebd3d174,back,ok,0.251297,506,152,0.293396,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/04a268bc7e7a28987f358fa1ebd3d174/back.png
book,04a268bc7e7a28987f358fa1ebd3d174,right,ok,0.288208,355,284,0.384598,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/04a268bc7e7a28987f358fa1ebd3d174/right.png
book,05fbf30e49d9ea9f14e2db7813a9a9e5,front,ok,0.223213,506,138,0.266373,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/05fbf30e49d9ea9f14e2db7813a9a9e5/front.png
book,05fbf30e49d9ea9f14e2db7813a9a9e5,left,ok,0.265266,340,280,0.363159,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/05fbf30e49d9ea9f14e2db7813a9a9e5/left.png
book,05fbf30e49d9ea9f14e2db7813a9a9e5,back,ok,0.227135,508,139,0.269363,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/05fbf30e49d9ea9f14e2db7813a9a9e5/back.png
book,05fbf30e49d9ea9f14e2db7813a9a9e5,right,ok,0.265709,340,280,0.363159,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/05fbf30e49d9ea9f14e2db7813a9a9e5/right.png
book,063bce2145f8750e2f97bef8e73ea8a8,front,ok,0.069492,62,376,0.088928,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/063bce2145f8750e2f97bef8e73ea8a8/front.png
book,063bce2145f8750e2f97bef8e73ea8a8,left,ok,0.257046,309,322,0.379555,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/063bce2145f8750e2f97bef8e73ea8a8/left.png
book,063bce2145f8750e2f97bef8e73ea8a8,back,ok,0.067013,56,367,0.078400,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/063bce2145f8750e2f97bef8e73ea8a8/back.png
book,063bce2145f8750e2f97bef8e73ea8a8,right,ok,0.256996,309,322,0.379555,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/063bce2145f8750e2f97bef8e73ea8a8/right.png
book,0644ce4bcbf6452639b48f3ee78bb7e2,front,ok,0.254780,512,151,0.294922,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/0644ce4bcbf6452639b48f3ee78bb7e2/front.png
book,0644ce4bcbf6452639b48f3ee78bb7e2,left,ok,0.285568,338,295,0.380363,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/0644ce4bcbf6452639b48f3ee78bb7e2/left.png
book,0644ce4bcbf6452639b48f3ee78bb7e2,back,ok,0.253277,510,150,0.291824,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/0644ce4bcbf6452639b48f3ee78bb7e2/back.png
book,0644ce4bcbf6452639b48f3ee78bb7e2,right,ok,0.285446,338,295,0.380363,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/0644ce4bcbf6452639b48f3ee78bb7e2/right.png
book,064f409bb0bcbc9fc92cde28adf0202d,front,ok,0.038265,36,351,0.048203,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/064f409bb0bcbc9fc92cde28adf0202d/front.png
book,064f409bb0bcbc9fc92cde28adf0202d,left,ok,0.197388,352,265,0.355835,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/064f409bb0bcbc9fc92cde28adf0202d/left.png
book,064f409bb0bcbc9fc92cde28adf0202d,back,ok,0.036797,38,280,0.040588,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/064f409bb0bcbc9fc92cde28adf0202d/back.png
book,064f409bb0bcbc9fc92cde28adf0202d,right,ok,0.197899,352,266,0.357178,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/064f409bb0bcbc9fc92cde28adf0202d/right.png
book,076b7dc0f38062fbc65baee644dff9c1,front,ok,0.255764,512,153,0.298828,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/076b7dc0f38062fbc65baee644dff9c1/front.png
book,076b7dc0f38062fbc65baee644dff9c1,left,ok,0.282829,334,301,0.383507,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/076b7dc0f38062fbc65baee644dff9c1/left.png
book,076b7dc0f38062fbc65baee644dff9c1,back,ok,0.253399,512,152,0.296875,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/076b7dc0f38062fbc65baee644dff9c1/back.png
book,076b7dc0f38062fbc65baee644dff9c1,right,ok,0.280800,334,301,0.383507,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/076b7dc0f38062fbc65baee644dff9c1/right.png
book,079afd94f715955cabe5e02b638ce72e,front,ok,0.289257,512,167,0.326172,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/079afd94f715955cabe5e02b638ce72e/front.png
book,079afd94f715955cabe5e02b638ce72e,left,ok,0.311523,342,312,0.407043,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/079afd94f715955cabe5e02b638ce72e/left.png
book,079afd94f715955cabe5e02b638ce72e,back,ok,0.292534,512,169,0.330078,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/079afd94f715955cabe5e02b638ce72e/back.png
book,079afd94f715955cabe5e02b638ce72e,right,ok,0.311539,343,312,0.408234,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/079afd94f715955cabe5e02b638ce72e/right.png
book,07a988bc632f73469539134468a737ff,front,ok,0.295361,494,191,0.359932,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/07a988bc632f73469539134468a737ff/front.png
book,07a988bc632f73469539134468a737ff,left,ok,0.314983,421,254,0.407921,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/07a988bc632f73469539134468a737ff/left.png
book,07a988bc632f73469539134468a737ff,back,ok,0.295635,493,191,0.359203,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/07a988bc632f73469539134468a737ff/back.png
book,07a988bc632f73469539134468a737ff,right,ok,0.314976,421,254,0.407921,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/07a988bc632f73469539134468a737ff/right.png
book,07af3b4435539f568f4fbc3eaf4b9bc2,front,ok,0.282230,512,167,0.326172,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/07af3b4435539f568f4fbc3eaf4b9bc2/front.png
book,07af3b4435539f568f4fbc3eaf4b9bc2,left,ok,0.306358,351,301,0.403027,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/07af3b4435539f568f4fbc3eaf4b9bc2/left.png
book,07af3b4435539f568f4fbc3eaf4b9bc2,back,ok,0.279659,512,165,0.322266,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/07af3b4435539f568f4fbc3eaf4b9bc2/back.png
book,07af3b4435539f568f4fbc3eaf4b9bc2,right,ok,0.305119,351,301,0.403027,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/07af3b4435539f568f4fbc3eaf4b9bc2/right.png
book,07d6f09b6933d6229f549b7b15fc31e4,front,ok,0.231071,507,141,0.272701,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/07d6f09b6933d6229f549b7b15fc31e4/front.png
book,07d6f09b6933d6229f549b7b15fc31e4,left,ok,0.270409,346,277,0.365608,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/07d6f09b6933d6229f549b7b15fc31e4/left.png
book,07d6f09b6933d6229f549b7b15fc31e4,back,ok,0.228378,504,140,0.269165,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/07d6f09b6933d6229f549b7b15fc31e4/back.png
